time,Open,High,Low,Close,Volume
2021-08-11 09:44:00-04:00,57.0,57.01,57.0,57.01,301
2021-08-11 09:45:00-04:00,57.005,57.04,57.005,57.04,2484
2021-08-11 09:46:00-04:00,57.05,57.06,57.045,57.045,507
2021-08-11 09:47:00-04:00,57.09,57.1,57.09,57.1,333
2021-08-11 09:48:00-04:00,57.08,57.09,57.08,57.09,300
2021-08-11 09:49:00-04:00,57.07,57.08,57.055,57.055,758
2021-08-11 09:50:00-04:00,57.09,57.09,57.065,57.065,300
2021-08-11 09:51:00-04:00,57.075,57.075,57.075,57.075,131
2021-08-11 09:52:00-04:00,57.07,57.08,57.07,57.08,396
2021-08-11 09:53:00-04:00,57.09,57.095,57.085,57.085,1210
2021-08-11 09:54:00-04:00,57.075,57.1,57.065,57.1,971
2021-08-11 09:55:00-04:00,57.09,57.09,57.09,57.09,474
2021-08-11 09:57:00-04:00,57.095,57.095,57.095,57.095,100
2021-08-11 09:58:00-04:00,57.1,57.1,57.07,57.07,918
2021-08-11 09:59:00-04:00,57.06,57.06,57.055,57.06,1343
2021-08-11 10:00:00-04:00,57.075,57.11,57.075,57.1,1570
2021-08-11 10:01:00-04:00,57.07,57.08,57.07,57.07,3400
2021-08-11 10:02:00-04:00,57.05,57.055,57.05,57.05,420
2021-08-11 10:03:00-04:00,57.015,57.015,57.015,57.015,140
2021-08-11 10:04:00-04:00,57.0,57.005,57.0,57.005,272
2021-08-11 10:06:00-04:00,56.96,56.96,56.96,56.96,211
2021-08-11 10:07:00-04:00,56.98,56.985,56.98,56.985,201
2021-08-11 10:08:00-04:00,56.99,57.0,56.99,57.0,749
2021-08-11 10:09:00-04:00,57.04,57.045,57.035,57.04,1046
2021-08-11 10:10:00-04:00,57.06,57.06,57.06,57.06,620
2021-08-11 10:11:00-04:00,57.025,57.025,57.025,57.025,203
2021-08-11 10:12:00-04:00,57.01,57.01,57.01,57.01,804
2021-08-11 10:13:00-04:00,57.01,57.01,57.01,57.01,211
2021-08-11 10:14:00-04:00,56.995,57.0,56.995,57.0,315
2021-08-11 10:15:00-04:00,57.01,57.03,57.005,57.03,826
2021-08-11 10:17:00-04:00,57.025,57.025,57.015,57.015,300
2021-08-11 10:19:00-04:00,57.0,57.015,56.99,57.0,911
2021-08-11 10:20:00-04:00,56.99,56.99,56.99,56.99,204
2021-08-11 10:21:00-04:00,56.965,56.98,56.965,56.98,827
2021-08-11 10:22:00-04:00,56.99,57.0,56.99,57.0,603
2021-08-11 10:23:00-04:00,56.985,56.985,56.985,56.985,120
2021-08-11 10:24:00-04:00,56.99,57.0,56.99,56.995,810
2021-08-11 10:25:00-04:00,56.985,56.985,56.97,56.97,407
2021-08-11 10:26:00-04:00,56.965,56.965,56.965,56.965,366
2021-08-11 10:27:00-04:00,57.0,57.0,57.0,57.0,503
2021-08-11 10:28:00-04:00,57.0,57.0,56.99,56.99,400
2021-08-11 10:29:00-04:00,56.99,56.995,56.99,56.995,300
2021-08-11 10:30:00-04:00,57.015,57.015,57.01,57.01,321
2021-08-11 10:31:00-04:00,56.975,56.98,56.975,56.98,374
2021-08-11 10:32:00-04:00,56.97,56.97,56.95,56.95,1169
2021-08-11 10:33:00-04:00,56.975,56.975,56.975,56.975,165
2021-08-11 10:34:00-04:00,56.975,56.98,56.97,56.98,550
2021-08-11 10:35:00-04:00,56.975,56.975,56.97,56.97,490
2021-08-11 10:36:00-04:00,56.99,56.99,56.985,56.985,220
2021-08-11 10:37:00-04:00,56.98,56.98,56.96,56.96,1638
2021-08-11 10:38:00-04:00,56.965,56.965,56.965,56.965,204
2021-08-11 10:39:00-04:00,56.96,56.96,56.96,56.96,154
2021-08-11 10:40:00-04:00,56.98,56.99,56.97,56.97,1201
2021-08-11 10:41:00-04:00,56.975,56.975,56.975,56.975,215
2021-08-11 10:42:00-04:00,56.96,56.96,56.94,56.94,317
2021-08-11 10:43:00-04:00,56.93,56.93,56.93,56.93,162
2021-08-11 10:44:00-04:00,56.93,56.93,56.91,56.91,858
2021-08-11 10:45:00-04:00,56.96,56.96,56.96,56.96,110
2021-08-11 10:46:00-04:00,56.975,56.975,56.93,56.93,472
2021-08-11 10:47:00-04:00,56.95,56.95,56.95,56.95,976
2021-08-11 10:48:00-04:00,56.95,56.955,56.95,56.955,300
2021-08-11 10:49:00-04:00,56.97,56.97,56.96,56.96,875
2021-08-11 10:50:00-04:00,56.96,56.96,56.96,56.96,125
2021-08-11 10:51:00-04:00,56.96,56.975,56.96,56.975,880
2021-08-11 10:52:00-04:00,56.97,56.98,56.97,56.98,201
2021-08-11 10:53:00-04:00,56.96,56.96,56.96,56.96,205
2021-08-11 10:54:00-04:00,56.985,56.99,56.985,56.99,354
2021-08-11 10:55:00-04:00,56.99,56.99,56.985,56.985,938
2021-08-11 10:56:00-04:00,57.01,57.03,57.01,57.02,1087
2021-08-11 10:57:00-04:00,57.02,57.02,57.0,57.02,1554
2021-08-11 10:58:00-04:00,57.03,57.03,57.03,57.03,310
2021-08-11 10:59:00-04:00,57.035,57.04,57.035,57.04,340
2021-08-11 11:00:00-04:00,57.04,57.07,57.04,57.07,637
2021-08-11 11:01:00-04:00,57.07,57.11,57.07,57.1,951
2021-08-11 11:02:00-04:00,57.1,57.12,57.1,57.12,1805
2021-08-11 11:03:00-04:00,57.12,57.13,57.11,57.13,300
2021-08-11 11:04:00-04:00,57.135,57.14,57.13,57.13,643
2021-08-11 11:05:00-04:00,57.125,57.14,57.125,57.14,520
2021-08-11 11:06:00-04:00,57.16,57.16,57.16,57.16,287
2021-08-11 11:07:00-04:00,57.16,57.16,57.15,57.16,900
2021-08-11 11:08:00-04:00,57.16,57.16,57.16,57.16,200
2021-08-11 11:09:00-04:00,57.16,57.16,57.16,57.16,110
2021-08-11 11:10:00-04:00,57.14,57.14,57.14,57.14,100
2021-08-11 11:11:00-04:00,57.13,57.13,57.105,57.105,1165
2021-08-11 11:12:00-04:00,57.11,57.115,57.11,57.115,405
2021-08-11 11:13:00-04:00,57.12,57.13,57.12,57.12,1664
2021-08-11 11:14:00-04:00,57.13,57.145,57.13,57.145,747
2021-08-11 11:15:00-04:00,57.17,57.175,57.16,57.16,908
2021-08-11 11:17:00-04:00,57.16,57.16,57.15,57.15,515
2021-08-11 11:18:00-04:00,57.14,57.14,57.14,57.14,332
2021-08-11 11:19:00-04:00,57.135,57.135,57.13,57.135,660
2021-08-11 11:20:00-04:00,57.14,57.14,57.135,57.135,341
2021-08-11 11:21:00-04:00,57.13,57.13,57.11,57.115,1046
2021-08-11 11:22:00-04:00,57.12,57.12,57.12,57.12,100
